x,y,z
0,0,0.21300361995597997
1,0,0.5818695018233176
2,0,1.0977996849557774
3,0,1.275292882306997
4,0,1.2621534444188007
5,0,1.1764394399200422
6,0,1.0736365347411516
7,0,0.9747162645392812
8,0,0.8861244054868307
9,0,0.8088236095035967
10,0,0.7419092101459636
11,0,0.6839854519981117
12,0,0.6336625898376591
13,0,0.5897149665294186
14,0,0.5511115906260518
15,0,0.5170019886409098
16,0,0.48668942109715213
17,0,0.4596034244677233
18,0,0.4352756489062631
19,0,0.4133198552022969
20,0,0.39341580650892183
21,0,0.3752964555343686
22,0,0.35873779798127553
23,0,0.3435508377552297
24,0,0.32957520868905726
25,0,0.3166740913274377
26,0,0.30473014247840446
27,0,0.2936422187149661
28,0,0.28332272462545616
29,0,0.27369545489787733
30,0,0.2646938286971233
31,0,0.2562594372920722
32,0,0.24834084313672955
33,0,0.24089258186430465
34,0,0.23387432887525347
35,0,0.22725020011644448
36,0,0.22098816280673997
37,0,0.21505953667766753
38,0,0.2094385700784582
39,0,0.20410207827869675
40,0,0.19902913366850422
41,0,0.1942007994422812
42,0,0.18959989986225909
43,0,0.18521082141291864
44,0,0.18101934013892437
45,0,0.17701247125582384
46,0,0.1731783377719762
47,0,0.1695060553914576
48,0,0.16598563140418335
49,0,0.16260787562949788

0,1,0.4608367402436242
1,1,1.1927848222169148
2,1,1.8652142893916532
3,1,1.8313032788405876
4,1,1.6185075239117312
5,1,1.4037652276051797
6,1,1.222888103495171
7,1,1.0762821841388723
8,1,0.9576704766137898
9,1,0.8608081597777787
10,1,0.7807169689768477
11,1,0.7136449724157409
12,1,0.6567973958018609
13,1,0.6080839473146773
14,1,0.5659253210745078
15,1,0.5291135265450627
16,1,0.49671272633592484
17,1,0.4679888333057152
18,1,0.4423591655192272
19,1,0.41935607012853077
20,1,0.39860033355794217
21,1,0.3797815122874194
22,1,0.3626432112684803
23,1,0.3469719400940064
24,1,0.3325885860542747
25,1,0.3193418227263365
26,1,0.307102965583496
27,1,0.29576192053636996
28,1,0.28522396602301925
29,1,0.2754071766990064
30,1,0.2662403452929474
31,1,0.25766129444893
32,1,0.24961549624614507
33,1,0.24205493624370344
34,1,0.23493717321181912
35,1,0.22822455649471984
36,1,0.22188357114129786
37,1,0.2158842872080344
38,1,0.21019989447118342
39,1,0.20480630753645312
40,1,0.1996818292656502
41,1,0.19480686274464537
42,1,0.1901636638403167
43,1,0.18573612784472876
44,1,0.1815096048652161
45,1,0.17747073955217196
46,1,0.17360733151047336
47,1,0.16990821335285106
48,1,0.16636314385307754
49,1,0.1629627140661595

0,2,1.6197009227271364
1,2,3.36588920877825
2,2,3.271532196271778
3,2,2.5021254475767383
4,2,1.9585466093045243
5,2,1.5930590064638968
6,2,1.337197671822608
7,2,1.1499674563523428
8,2,1.007702586195421
9,2,0.8962295056813416
10,2,0.8066638860885967
11,2,0.733195681252399
12,2,0.6718817239364784
13,2,0.6199588796774713
14,2,0.5754367961076594
15,2,0.536847151051656
16,2,0.5030839798729222
17,2,0.4732989229409164
18,2,0.4468306616784753
19,2,0.4231562533801786
20,2,0.40185685597353354
21,2,0.3825931282188448
22,2,0.36508727149360354
23,2,0.34910971680069686
24,2,0.33446911645635796
25,2,0.3210047235191273
26,2,0.30858052109406653
27,2,0.297080650860342
28,2,0.2864058178696657
29,2,0.27647043711482844
30,2,0.2672003495100104
31,2,0.25853097916144685
32,2,0.2504058356850887
33,2,0.24277528856309116
34,2,0.23559555764768103
35,2,0.22882787665647072
36,2,0.22243779606786804
37,2,0.21639459907161548
38,2,0.2106708097650447
39,2,0.20524177704727384
40,2,0.2000853209686631
41,2,0.19518143087395123
42,2,0.19051200670650395
43,2,0.18606063644610563
44,2,0.18181240392985618
45,2,0.17775372232772493
46,2,0.17387218936653076
47,2,0.17015646106099955
48,2,0.16659614125084357
49,2,0.16318168468389824

0,3,25.163835768319018
1,3,10.551773763026713
2,3,4.555388734747418
3,3,2.899082994100178
4,3,2.1254650694938544
5,3,1.677620340302636
6,3,1.3856119851758406
7,3,1.1801694198946855
8,3,1.0277734654421533
9,3,0.9102300897226732
10,3,0.816811176694312
11,3,0.7407815749073883
12,3,0.6776996485620091
13,3,0.6245176594252043
14,3,0.5790747707803877
15,3,0.539796325226222
16,3,0.5055077066579851
17,3,0.47531489293958795
18,3,0.44852539414472126
19,3,0.424594496308085
20,3,0.40308783992754493
21,3,0.3836548216186885
22,3,0.36600933491659843
23,3,0.34991559157464897
24,3,0.33517752565147835
25,3,0.3216307668705769
26,3,0.30913648467133253
27,3,0.29757661332886437
28,3,0.286850109697395
29,3,0.27686999210762886
30,3,0.26756097658246
31,3,0.25885757437076684
32,3,0.2507025490726963
33,3,0.24304565648328666
34,3,0.2358426085061131
35,3,0.2290542159926369
36,3,0.2226456754668131
37,3,0.21658597232358914
38,3,0.21084737889988
39,3,0.20540503027695026
40,3,0.20023656412344018
